,one,Average1,SD1,p_vales
0,GPX3-McRBC-PT7,GPX3-McRBC-PT7,SD,p-values
1,Air,1,0.41,NA
2,4L/min,1.64,0.45,0.1427
3,1L/min,1.69,1.21,0.4025
4,0.5L/min,0.15,0.03,0.0231
,one,Average1,SD1,p_vales
0,SINE-McRBC-PT7,SINE-McRBC-PT7,SD,p-values
1,Air,1,0.14,NA
2,4L/min,1.44,0.44,0.1742
3,1L/min,1.98,0.03,0.0003
4,0.5L/min,1.26,0.1,0.059
,one,Average1,SD1,p_vales
0,AHRR-McRBC-PT7,AHRR-McRBC-PT7,SD,p-values
1,Air,1,0.08,NA
2,4L/min,0.96,0.11,0.6373
3,1L/min,1.08,0.19,0.5383
4,0.5L/min,0.71,0.01,0.0034
,one,Average1,SD1,p_vales
0,CY1P1A1-McRBC-PT7,CY1P1A1-McRBC-PT7,SD,p-values
1,Air,1,0.33,NA
2,4L/min,1.35,0.43,0.326
3,1L/min,1.38,0.54,0.3571
4,0.5L/min,0.81,0.4,0.5602
,one,Average1,SD1,p_vales
0,ORF2-McRBC-PT7,ORF2-McRBC-PT7,SD,p-values
1,Air,1,0.31,NA
2,4L/min,1.2,0.28,0.4536
3,1L/min,1.58,0.36,0.102
4,0.5L/min,1.43,0.49,0.2683
,one,Average1,SD1,p_vales
0,5 UTR S2-McRBC-PT7,5 UTR S2-McRBC-PT7,SD,p-values
1,Air,1,0.36,NA
2,4L/min,0.97,0.08,0.8948
3,1L/min,1.24,0.04,0.3151
4,0.5L/min,1.21,0.06,0.3754
,one,Average1,SD1,p_vales
0,ALU-RT-McRBC-PT7,ALU-RT-McRBC-PT7,SD,p-values
1,Air,1,0.26,NA
2,4L/min,1.05,0.57,0.8967
3,1L/min,1.52,0.11,0.0332
4,0.5L/min,1.27,0.06,0.1545
,one,Average1,SD1,p_vales
0,HS 5 UTR -McRBC-PT7,HS 5 UTR -McRBC-PT7,SD,p-values
1,Air,1,0.41,NA
2,4L/min,0.79,0.06,0.4296
3,1L/min,1.31,0.36,0.3808
4,0.5L/min,0.87,0.16,0.6359
,one,Average1,SD1,p_vales
0,ORF1-McRBC-PT7,ORF1-McRBC-PT7,SD,p-values
1,Air,1,0.51,NA
2,4L/min,1.22,0.68,0.6772
3,1L/min,1.41,0.15,0.2525
4,0.5L/min,1.1,0.02,0.7514
,one,Average1,SD1,p_vales
0,5 UTR S3-McRBC-PT7,5 UTR S3-McRBC-PT7,SD,p-values
1,Air,1,0.09,NA
2,4L/min,0.98,0.41,0.9382
3,1L/min,1.64,0.04,0.0004
4,0.5L/min,1.25,0.14,0.0599
,one,Average1,SD1,p_vales
0,HS 3 UTR-McRBC-PT7,HS 3 UTR-McRBC-PT7,SD,p-values
1,Air,1,0.15,NA
2,4L/min,0.97,0.06,0.7638
3,1L/min,1.33,0.4,0.2519
4,0.5L/min,1.29,0.04,0.0318
