,two,Average2,SD2,p_vales
0,GPX3-RE-T0,GPX3-RE-T0,SD,p-values
1,Air,1.00,0.26,NA
2,4L/min,0.97,0.08,0.8578
3,1L/min,0.59,0.02,0.0528
4,0.5L/min,0.95,0.19,0.8013
,two,Average2,SD2,p_vales
0,SINE-RE-T0,SINE-RE-T0,SD,p-values
1,Air,1.00,0.04,NA
2,4L/min,1.02,0.04,0.5734
3,1L/min,1.00,0.02,1.0
4,0.5L/min,0.92,0.03,0.0503
,two,Average2,SD2,p_vales
0,AHRR-RE-T0,AHRR-RE-T0,SD,p-values
1,Air,1.00,0.04,NA
2,4L/min,1.09,0.17,0.4225
3,1L/min,0.65,0.27,0.0905
4,0.5L/min,0.65,0.15,0.0175
,two,Average2,SD2,p_vales
0,CY1P1A1-RE-T0,CY1P1A1-RE-T0,SD,p-values
1,Air,1.00,0.23,NA
2,4L/min,1.16,0.68,0.7191
3,1L/min,1.36,0.21,0.1158
4,0.5L/min,1.35,0.11,0.0762
,two,Average2,SD2,p_vales
0,ORF2-RE-T0,ORF2-RE-T0,SD,p-values
1,Air,1.00,0.23,NA
2,4L/min,0.77,0.23,0.2879
3,1L/min,0.66,0.20,0.1255
4,0.5L/min,0.42,0.06,0.0134
,two,Average2,SD2,p_vales
0,5 UTR S2-RE-T0,5 UTR S2-RE-T0,SD,p-values
1,Air,1.00,0.11,NA
2,4L/min,1.19,0.21,0.2374
3,1L/min,1.06,0.12,0.5579
4,0.5L/min,1.00,0.05,1.0
,two,Average2,SD2,p_vales
0,ALU-RT-RE-T0,ALU-RT-RE-T0,SD,p-values
1,Air,1.00,0.14,NA
2,4L/min,1.05,0.14,0.6844
3,1L/min,1.21,0.39,0.4296
4,0.5L/min,1.11,0.18,0.4504
,two,Average2,SD2,p_vales
0,HS 5 UTR -RE-T0,HS 5 UTR -RE-T0,SD,p-values
1,Air,1.00,0.04,NA
2,4L/min,1.08,0.17,0.4719
3,1L/min,1.14,0.18,0.2588
4,0.5L/min,1.04,0.05,0.3401
,two,Average2,SD2,p_vales
0,ORF1-RE-T0,ORF1-RE-T0,SD,p-values
1,Air,1.00,0.16,NA
2,4L/min,0.70,0.14,0.0709
3,1L/min,0.93,0.17,0.6309
4,0.5L/min,0.57,0.07,0.013
,two,Average2,SD2,p_vales
0,5 UTR S3-RE-T0,5 UTR S3-RE-T0,SD,p-values
1,Air,1.00,0.12,NA
2,4L/min,0.86,0.29,0.4829
3,1L/min,1.01,0.33,0.963
4,0.5L/min,1.58,0.49,0.1173
,two,Average2,SD2,p_vales
0,HS 3 UTR -RE-T0,HS 3 UTR -RE-T0,SD,p-values
1,Air,1.00,0.31,NA
2,4L/min,1.27,0.30,0.3393
3,1L/min,1.47,0.36,0.1618
4,0.5L/min,1.35,0.09,0.1336
