one,Average1,SD1,P value1,two,Average2,SD2,P- value2
GPX3-McRBC-PT2,GPX3-McRBC-PT2,SD,,GPX3-RE-PT2,GPX3-RE-PT2,SD,
Air,1,0.17,,Air,1,0.25,
4L/min,0.82,0.24,,4L/min,0.87,0.02,
1L/min,0.98,0.11,,1L/min,0.92,0.25,
0.5L/min,0.84,0.12,,0.5L/min,0.77,0.39,
,Average,SD,,,Average,SD,
SINE-McRBC-PT2,SINE-McRBC-PT2,SD,P value ,SINE-RE-PT2,SINE-RE-PT2,SD,P value 
Air,1,0.01,,Air,1,0.05,
4L/min,0.95,0.07,,4L/min,0.86,0.15,
1L/min,0.89,0.04,,1L/min,0.86,0.01,
0.5L/min,0.81,0.03,,0.5L/min,0.84,0.05,
,Average,SD,,,Average,SD,
AHRR-McRBC-PT2,AHRR-McRBC-PT2,SD,P value ,AHRR-RE-PT2,AHRR-RE-PT2,SD,P value 
Air,1,0.15,,Air,1,0.34,
4L/min,1.07,0.19,,4L/min,1.06,0.16,
1L/min,1.04,0.1,,1L/min,1.09,0.14,
0.5L/min,0.75,0.12,,0.5L/min,0.58,0.21,
,Average,SD,,,Average,SD,
CY1P1A1-McRBC-PT2,CY1P1A1-McRBC-PT2,SD,P value ,CY1P1A1-RE-PT2,CY1P1A1-RE-PT2,SD,P value 
Air,1,0.14,,Air,1,0.29,
4L/min,1.11,0.25,,4L/min,1.12,0.31,
1L/min,1.15,0.12,,1L/min,0.98,0.22,
0.5L/min,0.86,0.14,,0.5L/min,0.55,0.04,
,Average,SD,,,Average,SD,
ORF2-McRBC-PT2,ORF2-McRBC-PT2,SD,P value ,ORF2-RE-PT2,ORF2-RE-PT2,SD,P value 
Air,1,0.43,,Air,1,0.35,
4L/min,0.82,0.14,,4L/min,0.89,0.12,
1L/min,0.53,0.03,,1L/min,0.64,0.16,
0.5L/min,0.38,0.03,,0.5L/min,0.51,0.09,
,Average,SD,,,Average,SD,
5 UTR S2-McRBC-PT2,5 UTR S2-McRBC-PT2,SD,P value ,5 UTR S2-RE-PT2,5 UTR S2-RE-PT2,SD,P value 
Air,1,0.38,,Air,1,0.15,
4L/min,0.64,0.11,,4L/min,0.75,0.1,
1L/min,0.52,0.32,,1L/min,0.68,0.3,
0.5L/min,0.59,0.07,,0.5L/min,0.72,0.13,
,Average,SD,,,Average,SD,
ALU-RT-McRBC-PT2,ALU-RT-McRBC-PT2,SD,P value ,ALU-RT-RE-PT2,ALU-RT-RE-PT2,SD,P value 
Air,1,0.09,,Air,1,0.1,
4L/min,1.16,0.1,,4L/min,0.9,0.34,
1L/min,0.8,0.13,,1L/min,0.9,0.13,
0.5L/min,0.95,0.04,,0.5L/min,0.81,0.14,
,Average,SD,,,Average,SD,
HS 5 UTR -McRBC-PT2,HS 5 UTR -McRBC-PT2,SD,P value ,HS 5 UTR -RE-PT2,HS 5 UTR -RE-PT2,SD,P value 
Air,1,0.24,,Air,1,0.29,
4L/min,1.29,0.34,,4L/min,1.1,0.14,
1L/min,1.35,0.43,,1L/min,1.1,0.15,
0.5L/min,1.25,0.65,,0.5L/min,1.11,0.37,
,Average,SD,,,Average,SD,
ORF1-McRBC-PT2,ORF1-McRBC-PT2,SD,P value ,ORF1-RE-PT2,ORF1-RE-PT2,SD,P value 
Air,1,0.36,,Air,1,0.39,
4L/min,1.18,0.4,,4L/min,1.05,0.48,
1L/min,0.79,0.05,,1L/min,0.97,0.01,
0.5L/min,0.65,0.07,,0.5L/min,0.74,0.14,
,Average,SD,,,Average,SD,
5 UTR S3-McRBC-PT2,5 UTR S3-McRBC-PT2,SD,P value ,5 UTR S3-RE-PT2,5 UTR S3-RE-PT2,SD,P value 
Air,1,0.08,,Air,1,0.06,
4L/min,1.18,0.33,,4L/min,1.35,0.21,
1L/min,0.78,0.03,,1L/min,0.89,0.04,
0.5L/min,0.71,0.08,,0.5L/min,0.76,0.1,
,Average,SD,,,Average,SD,
HS 3 UTR-McRBC-PT2,HS 3 UTR-McRBC-PT2,SD,P value ,HS 3 UTR -RE-PT2,HS 3 UTR -RE-PT2,SD,P value 
Air,1,0.04,,Air,1,0.01,
4L/min,1.19,0.29,,4L/min,0.98,0.18,
1L/min,1.2,0.16,,1L/min,1.24,0.32,
0.5L/min,1.31,0.12,,0.5L/min,1.22,0.1,
