one,Average1,SD1,P value1,two,Average2,SD2,P value2
GPX3-McRBC-T0,GPX3-McRBC-T0,SD,,GPX3-RE-T0,GPX3-RE-T0,SD,
Air,1.00,0.06,,Air,1.00,0.26,
4L/min,1.20,0.06,,4L/min,0.97,0.08,
1L/min,1.05,0.43,,1L/min,0.59,0.02,
0.5L/min,0.95,0.21,,0.5L/min,0.95,0.19,
,Average,SD,,,Average,SD,
SINE-McRBC-T0,SINE-McRBC-T0,SD,P value,SINE-RE-T0,SINE-RE-T0,SD,P value
Air,1.00,0.05,,Air,1.00,0.04,
4L/min,1.03,0.08,,4L/min,1.02,0.04,
1L/min,0.99,0.15,,1L/min,1.00,0.02,
0.5L/min,0.88,0.07,,0.5L/min,0.92,0.03,
,Average,SD,,,Average,SD,
AHRR-McRBC-T0,AHRR-McRBC-T0,SD,P value,AHRR-RE-T0,AHRR-RE-T0,SD,P value
Air,1.00,0.06,,Air,1.00,0.04,
4L/min,1.16,0.05,,4L/min,1.09,0.17,
1L/min,0.83,0.11,,1L/min,0.65,0.27,
0.5L/min,0.96,0.03,,0.5L/min,0.65,0.15,
,Average,SD,,,Average,SD,
CY1P1A1-McRBC-T0,CY1P1A1-McRBC-T0,SD,P value,CY1P1A1-RE-T0,CY1P1A1-RE-T0,SD,P value
Air,1.00,0.04,,Air,1.00,0.23,
4L/min,1.22,0.06,,4L/min,1.16,0.68,
1L/min,1.31,0.18,,1L/min,1.36,0.21,
0.5L/min,1.00,0.03,,0.5L/min,1.35,0.11,
,Average,SD,,,Average,SD,
ORF2-McRBC-T0,ORF2-McRBC-T0,SD,P value,ORF2-RE-T0,ORF2-RE-T0,SD,P value
Air,1.00,0.17,,Air,1.00,0.23,
4L/min,1.14,0.18,,4L/min,0.77,0.23,
1L/min,0.54,0.16,,1L/min,0.66,0.20,
0.5L/min,0.54,0.23,,0.5L/min,0.42,0.06,
,Average,SD,,,Average,SD,
5 UTR S2-McRBC-T0,5 UTR S2-McRBC-T0,SD,P value,5 UTR S2-RE-T0,5 UTR S2-RE-T0,SD,P value
Air,1.00,0.28,,Air,1.00,0.11,
4L/min,1.09,0.15,,4L/min,1.19,0.21,
1L/min,1.10,0.48,,1L/min,1.06,0.12,
0.5L/min,1.03,0.39,,0.5L/min,1.00,0.05,
,Average,SD,,,Average,SD,
ALU-RT-McRBC-T0,ALU-RT-McRBC-T0,SD,P value,ALU-RT-RE-T0,ALU-RT-RE-T0,SD,P value
Air,1.00,0.05,,Air,1.00,0.14,
4L/min,1.22,0.21,,4L/min,1.05,0.14,
1L/min,0.91,0.44,,1L/min,1.21,0.39,
0.5L/min,1.38,0.12,,0.5L/min,1.11,0.18,
,Average,SD,,,Average,SD,
HS 5 UTR -McRBC-T0,HS 5 UTR -McRBC-T0,SD,P value,HS 5 UTR -RE-T0,HS 5 UTR -RE-T0,SD,P value
Air,1.00,0.22,,Air,1.00,0.04,
4L/min,1.15,0.51,,4L/min,1.08,0.17,
1L/min,0.99,0.26,,1L/min,1.14,0.18,
0.5L/min,1.11,0.21,,0.5L/min,1.04,0.05,
,Average,SD,,,Average,SD,
ORF1-McRBC-T0,ORF1-McRBC,SD,P value,ORF1-RE-T0,ORF1-RE-T0,SD,P value
Air,1.00,0.33,,Air,1.00,0.16,
4L/min,0.74,0.20,,4L/min,0.70,0.14,
1L/min,1.07,0.08,,1L/min,0.93,0.17,
0.5L/min,0.63,0.24,,0.5L/min,0.57,0.07,
,Average,SD,,,Average,SD,
5 UTR S3-McRBC-T0,5 UTR S3-McRBC-T0,SD,P value,5 UTR S3-RE-T0,5 UTR S3-RE-T0,SD,P value
Air,1.00,0.48,,Air,1.00,0.12,
4L/min,1.18,0.26,,4L/min,0.86,0.29,
1L/min,1.62,0.52,,1L/min,1.01,0.33,
0.5L/min,1.39,0.39,,0.5L/min,1.58,0.49,
,Average,SD,,,Average,SD,
HS 3 UTR-McRBC-T0,HS 3 UTR-McRBC-T0,SD,P value,HS 3 UTR -RE-T0,HS 3 UTR -RE-T0,SD,P value
Air,1.00,0.32,,Air,1.00,0.31,
4L/min,1.57,0.28,,4L/min,1.27,0.30,
1L/min,1.37,0.42,,1L/min,1.47,0.36,
0.5L/min,1.19,0.70,,0.5L/min,1.35,0.09,
