one,Average1,SD1,two,Average2,SD2,three,Average3,SD3,four,Average4,SD4
CY1P1A1-McRBC-T0,CY1P1A1-McRBC-T0,SD,CY1P1A1-McRBC-T1,CY1P1A1-McRBC-T1,SD,CY1P1A1-McRBC-PT2,CY1P1A1-McRBC-PT2,SD,CY1P1A1-McRBC-PT7,CY1P1A1-McRBC-PT7,SD
Air,1,0.04,Air,1,0.3,Air,1,0.14,Air,1,0.33
4L/min,1.22,0.06,4L/min,0.65,0.24,4L/min,1.11,0.25,4L/min,1.35,0.43
1L/min,1.31,0.18,1L/min,0.76,0.09,1L/min,1.15,0.12,1L/min,1.38,0.54
0.5L/min,1,0.03,0.5L/min,0.76,0.08,0.5L/min,0.86,0.14,0.5L/min,0.81,0.4
,Average,SD,,Average,SD,,Average,SD,,Average,SD
ALU-RT-McRBC-T0,ALU-RT-McRBC-T0,SD,ALU-RT-McRBC-T1,ALU-RT-McRBC-T1,SD,ALU-RT-McRBC-PT2,ALU-RT-McRBC-PT2,SD,ALU-RT-McRBC-PT7,ALU-RT-McRBC-PT7,SD
Air,1,0.05,Air,1,0.01,Air,1,0.09,Air,1,0.26
4L/min,1.22,0.21,4L/min,0.8,0.18,4L/min,1.16,0.1,4L/min,1.05,0.57
1L/min,0.91,0.44,1L/min,0.39,0.07,1L/min,0.8,0.13,1L/min,1.52,0.11
0.5L/min,1.38,0.12,0.5L/min,0.31,0.01,0.5L/min,0.95,0.04,0.5L/min,1.27,0.06
,Average,SD,,Average,SD,,Average,SD,,Average,SD
5 UTR S2-McRBC-T0,5 UTR S2-McRBC-T0,SD,5 UTR S2-McRBC-T1,5 UTR S2-McRBC-T1,SD,5 UTR S2-McRBC-PT2,5 UTR S2-McRBC-PT2,SD,5 UTR S2-McRBC-PT7,5 UTR S2-McRBC-PT7,SD
Air,1,0.28,Air,1,0.27,Air,1,0.38,Air,1,0.36
4L/min,1.09,0.15,4L/min,1.14,0.21,4L/min,0.64,0.11,4L/min,0.97,0.08
1L/min,1.1,0.48,1L/min,0.78,0.19,1L/min,0.52,0.32,1L/min,1.24,0.04
0.5L/min,1.03,0.39,0.5L/min,0.41,0.17,0.5L/min,0.59,0.07,0.5L/min,1.21,0.06
,Average,SD,,Average,SD,,Average,SD,,Average,SD
5 UTR S3-McRBC-T0,5 UTR S3-McRBC-T0,SD,5 UTR S3-McRBC-T1,5 UTR S3-McRBC-T1,SD,5 UTR S3-McRBC-PT2,5 UTR S3-McRBC-PT2,SD,5 UTR S3-McRBC-PT7,5 UTR S3-McRBC-PT7,SD
Air,1,0.48,Air,1,0.1,Air,1,0.08,Air,1,0.09
4L/min,1.18,0.26,4L/min,0.6,0.06,4L/min,1.18,0.33,4L/min,0.98,0.41
1L/min,1.62,0.52,1L/min,0.54,0.22,1L/min,0.78,0.03,1L/min,1.64,0.04
0.5L/min,1.39,0.39,0.5L/min,0.41,0.03,0.5L/min,0.71,0.08,0.5L/min,1.25,0.14
,Average,SD,,Average,SD,,Average,SD,,Average,SD
HS 5 UTR-McRBC-T0,HS 5 UTR-McRBC-T0,SD,HS 5 UTR -McRBC,HS 5 UTR-McRBC-T1,SD,HS 5 UTR-McRBC-PT2,HS 5 UTR-McRBC-PT2,SD,HS 5 UTR -McRBC-PT7,HS 5 UTR-McRBC-PT7,SD
Air,1,0.22,Air,1,0.02,Air,1,0.24,Air,1,0.41
4L/min,1.15,0.51,4L/min,1.13,0.32,4L/min,1.29,0.34,4L/min,0.79,0.06
1L/min,0.99,0.26,1L/min,0.8,0.09,1L/min,1.35,0.43,1L/min,1.31,0.36
0.5L/min,1.11,0.21,0.5L/min,0.55,0.26,0.5L/min,1.25,0.65,0.5L/min,0.87,0.16
,Average,SD,,Average,SD,,Average,SD,,Average,SD
HS 3 UTR-McRBC-T0,HS 3 UTR-McRBC-T0,SD,HS 3 UTR-McRBC-T1,HS 3 UTR-McRBC-T1,SD,HS 3 UTR-McRBC-PT2,HS 3 UTR-McRBC-PT2,SD,HS 3 UTR-McRBC-PT7,HS 3 UTR-McRBC-PT7,SD
Air,1,0.32,Air,1,0.11,Air,1,0.04,Air,1,0.15
4L/min,1.57,0.28,4L/min,1.37,0.36,4L/min,1.19,0.29,4L/min,0.97,0.06
1L/min,1.37,0.42,1L/min,0.71,0.25,1L/min,1.2,0.16,1L/min,1.33,0.4
0.5L/min,1.19,0.7,0.5L/min,0.65,0.24,0.5L/min,1.31,0.12,0.5L/min,1.29,0.04
,Average,SD,,Average,SD,,Average,SD,,Average,SD
