one,Average1,SD1,,two,Average2,SD2,,three,Average3,SD3,,four,Average4,SD4,
CY1P1A1-RE-T0,CY1P1A1-RE-T0,SD,P value,CY1P1A1-RE-T1,CY1P1A1-RE-T1,SD,P value,CY1P1A1-RE-PT2,CY1P1A1-RE-PT2,SD,P value ,CY1P1A1-RE-PT7,CY1P1A1-RE-PT7,SD,P value
Air,1,0.23,,Air,1,0.18,,Air,1,0.29,,Air,1,0.46,
4L/min,1.16,0.68,,4L/min,0.21,0.11,,4L/min,1.12,0.31,,4L/min,0.9,0.15,
1L/min,1.36,0.21,,1L/min,0.72,0.18,,1L/min,0.98,0.22,,1L/min,1.56,0.04,
0.5L/min,1.35,0.11,,0.5L/min,0.69,0.21,,0.5L/min,0.55,0.04,,0.5L/min,0.7,0.22,
,Average,SD,,,Average,SD,,,Average,SD,,,Average,SD,
ALU-RT-RE-T0,ALU-RT-RE-T0,SD,P value,ALU-RT-RE-T1,ALU-RT-RE-T1,SD,P value,ALU-RT-RE-PT2,ALU-RT-RE-PT2,SD,P value ,ALU-RT-RE-PT7,ALU-RT-RE-PT7,SD,P value
Air,1,0.14,,Air,1,0.26,,Air,1,0.1,,Air,1,0.3,
4L/min,1.05,0.14,,4L/min,0.71,0.1,,4L/min,0.9,0.34,,4L/min,1.1,0.19,
1L/min,1.21,0.39,,1L/min,0.6,0.12,,1L/min,0.9,0.13,,1L/min,1.43,0.3,
0.5L/min,1.11,0.18,,0.5L/min,0.33,0.15,,0.5L/min,0.81,0.14,,0.5L/min,1.36,0.23,
,Average,SD,,,Average,SD,,,Average,SD,,,Average,SD,
5 UTR S2-RE-T0,5 UTR S2-RE-T0,SD,P value,5 UTR S2-RE-T1,5 UTR S2-RE-T1,SD,P value,5 UTR S2-RE-PT2,5 UTR S2-RE-PT2,SD,P value ,5 UTR S2-RE-PT7,5 UTR S2-RE-PT7,SD,P value
Air,1,0.11,,Air,1,0.29,,Air,1,0.15,,Air,1,0.5,
4L/min,1.19,0.21,,4L/min,0.98,0.13,,4L/min,0.75,0.1,,4L/min,1.13,0.49,
1L/min,1.06,0.12,,1L/min,0.76,0.01,,1L/min,0.68,0.3,,1L/min,0.9,0.09,
0.5L/min,1,0.05,,0.5L/min,0.55,0.27,,0.5L/min,0.72,0.13,,0.5L/min,1.02,0.16,
,Average,SD,,,Average,SD,,,Average,SD,,,Average,SD,
5 UTR S3-RE-T0,5 UTR S3-RE-T0,SD,P value,5 UTR S3-RE-T1,5 UTR S3-RE-T1,SD,P value,5 UTR S3-RE-PT2,5 UTR S3-RE-PT2,SD,P value ,5 UTR S3-RE-PT7,5 UTR S3-RE-PT7,SD,P value
Air,1,0.12,,Air,1,0.4,,Air,1,0.06,,Air,1,0.41,
4L/min,0.86,0.29,,4L/min,0.61,0.11,,4L/min,1.35,0.21,,4L/min,1.1,0.48,
1L/min,1.01,0.33,,1L/min,0.55,0.16,,1L/min,0.89,0.04,,1L/min,1.57,0.59,
0.5L/min,1.58,0.49,,0.5L/min,0.5,0.14,,0.5L/min,0.76,0.1,,0.5L/min,1.38,0.37,
,Average,SD,,,Average,SD,,,Average,SD,,,Average,SD,
HS 5 UTR -RE-T0,HS 5 UTR-RE-T0,SD,P value,HS 5 UTR -RE-T1,HS 5 UTR-RE-T1,SD,P value,HS 5 UTR -RE-PT2,HS 5 UTR-RE-PT2,SD,P value ,HS 5 UTR -RE-PT7,HS 5 UTR-RE-PT7,SD,P value
Air,1,0.04,,Air,1,0.42,,Air,1,0.29,,Air,1,0.21,
4L/min,1.08,0.17,,4L/min,0.91,0.32,,4L/min,1.1,0.14,,4L/min,0.9,0.37,
1L/min,1.14,0.18,,1L/min,0.65,0.06,,1L/min,1.1,0.15,,1L/min,1.12,0.23,
0.5L/min,1.04,0.05,,0.5L/min,0.36,0.31,,0.5L/min,1.11,0.37,,0.5L/min,0.92,0.38,
,Average,SD,,,Average,SD,,,Average,SD,,,Average,SD,
HS 3 UTR-RE-T0,HS 3 UTR-RE-T0,SD,P value,HS 3 UTR-RE-T1,HS 3 UTR-RE-T1,SD,P value,HS 3 UTR-RE-PT2,HS 3 UTR-RE-PT2,SD,P value ,HS 3 UTR-RE-PT7,HS 3 UTR-RE-PT7,SD,P value
Air,1,0.31,,Air,1,0.22,,Air,1,0.01,,Air,1,0.89,
4L/min,1.27,0.3,,4L/min,1.01,0.63,,4L/min,0.98,0.18,,4L/min,1.54,0.4,
1L/min,1.47,0.36,,1L/min,0.62,0.05,,1L/min,1.24,0.32,,1L/min,2.25,0.96,
0.5L/min,1.35,0.09,,0.5L/min,0.66,0.41,,0.5L/min,1.22,0.1,,0.5L/min,2.02,0.08,
,Average,SD,,,Average,SD,,,Average,SD,,,Average,SD,
ORF1-RE-T0,ORF1-RE-T0,SD,P value,ORF1-RE-T1,ORF1-RE-T1,SD,P value,ORF1-RE-PT2,ORF1-RE-PT2,SD,P value ,ORF1-RE-PT7,ORF1-RE-PT7,SD,P value
Air,1,0.16,,Air,1,0.39,,Air,1,0.39,,Air,1,0.41,
4L/min,0.7,0.14,,4L/min,0.81,0.06,,4L/min,1.05,0.48,,4L/min,1.55,0.71,
1L/min,0.93,0.17,,1L/min,0.96,0.19,,1L/min,0.97,0.01,,1L/min,2.04,0.3,
0.5L/min,0.57,0.07,,0.5L/min,0.29,0.18,,0.5L/min,0.74,0.14,,0.5L/min,1.77,0.16,
,Average,SD,,,Average,SD,,,Average,SD,,,Average,SD,
